Date,Total,Blekinge län,Dalarnas län,Gotlands län,Gävleborgs län,Hallands län,Jämtlands län,Jönköpings län,Kalmar län,Kronobergs län,Norrbottens län,Skåne län,Stockholms län,Södermanlands län,Uppsala län,Värmlands län,Västerbottens län,Västernorrlands län,Västmanlands län,Västra Götalands län,Örebro län,Östergötlands län
2020-03-21,126,0,1,0,3,1,14,3,1,1,0,3,55,4,1,1,1,0,0,14,6,17
2020-03-22,152,0,0,0,4,3,0,4,1,0,5,5,99,6,3,3,0,0,1,8,2,8
2020-03-23,124,0,9,0,0,5,11,1,2,0,0,3,56,11,5,0,1,0,1,4,0,15
2020-03-24,240,0,5,0,3,1,3,3,1,0,3,7,143,2,11,2,0,2,4,11,10,29
2020-03-25,237,0,10,0,5,7,4,6,3,1,10,8,111,19,9,3,3,2,2,10,1,23
2020-03-26,319,3,14,4,7,6,3,5,3,3,5,10,146,29,15,0,6,2,8,22,8,20
2020-03-27,214,0,8,0,5,4,2,9,4,0,3,8,95,12,12,0,3,4,5,20,2,18
2020-03-28,391,0,14,2,9,0,3,15,3,5,0,10,227,33,20,1,0,0,8,13,7,21
2020-03-29,259,2,6,0,13,6,6,9,2,1,1,2,119,1,7,2,5,2,13,21,2,39
2020-03-30,396,4,11,0,9,5,7,6,1,4,9,5,149,43,6,1,3,9,7,21,33,63
2020-03-31,410,0,9,0,11,11,2,17,3,1,6,3,173,36,21,1,5,10,9,27,21,44
2020-04-01,484,5,23,1,15,1,0,16,4,5,6,7,245,37,11,0,8,9,9,28,8,46
2020-04-02,559,1,18,0,30,4,4,13,5,1,5,8,215,59,37,2,7,2,21,30,16,81
2020-04-03,563,3,7,1,16,10,1,32,4,7,8,12,223,63,16,1,12,1,25,52,17,52
